Model,Scenario,Region,Variable,Energy consumers,Energy uses,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,2130,2150
REMIND,SSP2-NPi2025,EUR,Price,CHEMICAL,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198717,10637.435776586266,10480.511174658479,10693.397599132002,11207.410230689073,11131.318237385307,10657.92904667196,10301.46213561801,10274.432652687083,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328675
REMIND,SSP2-NPi2025,EUR,Price,CHEMICAL,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,CHEMICAL,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.3753345518035,4571.873878432935,4803.989377866605,
REMIND,SSP2-NPi2025,EUR,Price,CHEMICAL,R&C,M EUR 2020/EJ,12028.67902941558,13884.474374204752,14796.125857962461,13767.215158007146,13453.704540886176,13747.077851471551,14233.154008499383,14644.816402449807,14260.240382516158,13974.097426067325,13650.167139990206,13300.511057027363,13176.554757934191,12455.767912354533,12380.409972583431,13759.019764692926
REMIND,SSP2-NPi2025,EUR,Price,CHEMICAL,ST,M EUR 2020/EJ,5892.341367112446,7162.214640638634,7452.953357980266,6935.27593139552,7030.513854014249,7172.793502207226,7423.145742850219,8010.446743178263,8178.122920887009,7471.740941816443,6590.59622419895,7034.718345451113,8364.36325880808,8197.586043406365,6234.10141770052,4451.4212426479935
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,CH,M EUR 2020/EJ,8385.95622340978,11394.019001357263,13628.368011675606,13057.970704905887,12011.640222255588,12097.57667139555,12651.758168720726,13737.703439880986,14404.857762739193,13992.060541802206,13669.127513471276,14369.711732070722,16013.079775987895,15316.083945123326,12729.423060762614,10441.877439966842
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,FRE,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198717,10637.435776586266,10480.511174658479,10693.397599132002,11207.410230689073,11131.318237385307,10657.92904667196,10301.46213561801,10274.432652687083,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328675
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.3753345518035,4571.873878432935,4803.989377866605,
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,R&C,M EUR 2020/EJ,12028.67902941558,13884.474374204752,14796.125857962461,13767.215158007146,13453.704540886176,13747.077851471551,14233.154008499383,14644.816402449807,14260.240382516158,13974.097426067325,13650.167139990206,13300.511057027363,13176.554757934191,12455.767912354533,12380.409972583431,13759.019764692926
REMIND,SSP2-NPi2025,EUR,Price,ENERGY,ST,M EUR 2020/EJ,5892.341367112446,7162.214640638634,7452.953357980266,6935.27593139552,7030.513854014249,7172.793502207226,7423.145742850219,8010.446743178263,8178.122920887009,7471.740941816443,6590.59622419895,7034.718345451113,8364.36325880808,8197.586043406365,6234.10141770052,4451.4212426479935
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,CH,M EUR 2020/EJ,8385.95622340978,11394.019001357263,13628.368011675606,13057.970704905887,12011.640222255588,12097.57667139555,12651.758168720726,13737.703439880986,14404.857762739193,13992.060541802206,13669.127513471276,14369.711732070722,16013.079775987895,15316.083945123326,12729.423060762614,10441.877439966842
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,FRE,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198717,10637.435776586266,10480.511174658479,10693.397599132002,11207.410230689073,11131.318237385307,10657.92904667196,10301.46213561801,10274.432652687083,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328675
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.3753345518035,4571.873878432935,4803.989377866605,
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,R&C,M EUR 2020/EJ,12028.67902941558,13884.474374204752,14796.125857962461,13767.215158007146,13453.704540886176,13747.077851471551,14233.154008499383,14644.816402449807,14260.240382516158,13974.097426067325,13650.167139990206,13300.511057027363,13176.554757934191,12455.767912354533,12380.409972583431,13759.019764692926
REMIND,SSP2-NPi2025,EUR,Price,TRANSPORTATION,ST,M EUR 2020/EJ,5892.341367112446,7162.214640638634,7452.953357980266,6935.27593139552,7030.513854014249,7172.793502207226,7423.145742850219,8010.446743178263,8178.122920887009,7471.740941816443,6590.59622419895,7034.718345451113,8364.36325880808,8197.586043406365,6234.10141770052,4451.4212426479935
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,CH,M EUR 2020/EJ,8385.95622340978,11394.019001357263,13628.368011675606,13057.970704905887,12011.640222255588,12097.57667139555,12651.758168720726,13737.703439880986,14404.857762739193,13992.060541802206,13669.127513471276,14369.711732070722,16013.079775987895,15316.083945123326,12729.423060762614,10441.877439966842
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,FRE,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198717,10637.435776586266,10480.511174658479,10693.397599132002,11207.410230689073,11131.318237385307,10657.92904667196,10301.46213561801,10274.432652687083,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328675
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180298,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493673,25015.56540840457,24856.620497285214,24511.93181602833,23070.367291286366,23495.323751456606,26212.059952575673
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.3753345518035,4571.873878432935,4803.989377866605,
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,R&C,M EUR 2020/EJ,12028.67902941558,13884.474374204752,14796.125857962461,13767.215158007146,13453.704540886176,13747.077851471551,14233.154008499383,14644.816402449807,14260.240382516158,13974.097426067325,13650.167139990206,13300.511057027363,13176.554757934191,12455.767912354533,12380.409972583431,13759.019764692926
REMIND,SSP2-NPi2025,EUR,Price,HOUSEHOLDS,ST,M EUR 2020/EJ,5892.341367112446,7162.214640638634,7452.953357980266,6935.27593139552,7030.513854014249,7172.793502207226,7423.145742850219,8010.446743178263,8178.122920887009,7471.740941816443,6590.59622419895,7034.718345451113,8364.36325880808,8197.586043406365,6234.10141770052,4451.4212426479935
